Date,Price,NAV
28.02.2008,13972.63,2021033213.67
29.02.2008,13978.57,2039924460.83
03.03.2008,13964.24,1988433566.65
04.03.2008,13963.89,2015805092.16
05.03.2008,13988.92,2082124179.45
06.03.2008,13984.53,2091354283.0
07.03.2008,13982.59,2100005572.72
11.03.2008,13994.73,2061681630.4
12.03.2008,13998.95,2076139150.97
13.03.2008,13997.07,2086968858.42
14.03.2008,14012.82,2074132483.21
17.03.2008,14006.51,2059228975.91
18.03.2008,14009.98,2063383356.0
19.03.2008,14014.54,2048065893.98
20.03.2008,14017.08,2073223565.39
21.03.2008,14007.96,2061801494.68
24.03.2008,14003.79,2037909011.77
25.03.2008,14006.64,2045423707.95
26.03.2008,14022.12,2058113276.4
27.03.2008,14039.8,2019689509.79
28.03.2008,14039.68,2019756611.88
31.03.2008,14072.0,1972689155.26
01.04.2008,14096.95,1999989519.1
02.04.2008,14103.63,2004998450.94
03.04.2008,14094.27,2011032871.42
04.04.2008,14101.39,2016468939.44
07.04.2008,14126.76,2004547113.0
08.04.2008,14128.29,2009140813.01
09.04.2008,14135.39,2015072851.12
10.04.2008,14145.97,2021118416.46
11.04.2008,14146.1,2023320572.41
14.04.2008,14175.61,1995655606.46
15.04.2008,14186.85,2006600159.64
16.04.2008,14188.48,1999419888.71
17.04.2008,14193.87,2059721099.23
18.04.2008,14191.52,2054760850.85
21.04.2008,14215.67,2081844381.07
22.04.2008,14228.96,2093094726.12
23.04.2008,14241.59,2119071536.38
24.04.2008,14251.36,2120336211.44
25.04.2008,14260.72,2125760345.0
28.04.2008,14281.69,2132675219.84
29.04.2008,14286.55,2116617269.48
30.04.2008,14299.32,2100507638.34
04.05.2008,14313.78,2117170946.37
05.05.2008,14327.52,2127084464.55
06.05.2008,14326.2,2115518770.88
07.05.2008,14332.73,2115104803.16
08.05.2008,14339.59,2096721265.43
12.05.2008,14367.64,2118322892.32
13.05.2008,14389.71,2155011899.65
14.05.2008,14389.52,2159127570.38
15.05.2008,14389.2,2199457919.02
16.05.2008,14392.84,2281900102.85
19.05.2008,14386.72,2245085823.56
20.05.2008,14402.54,2304517296.82
21.05.2008,14424.58,2441187574.92
22.05.2008,14431.39,2487840836.53
23.05.2008,14431.86,2538207023.15
26.05.2008,14441.16,2560587508.15
27.05.2008,14450.78,2589599668.91
28.05.2008,14458.44,2668652834.72
29.05.2008,14471.86,2691709940.38
30.05.2008,14491.06,2685628357.72
02.06.2008,14501.63,2637165917.83
03.06.2008,14514.43,2642953253.17
04.06.2008,14513.89,2619797402.36
05.06.2008,14516.79,2617059139.84
06.06.2008,14536.07,2618715058.32
07.06.2008,14537.67,2597284187.86
09.06.2008,14534.69,2588345852.81
10.06.2008,14532.77,2580553914.31
11.06.2008,14531.0,2570916383.4
16.06.2008,14545.51,2439004464.79
17.06.2008,14548.95,2423858690.18
18.06.2008,14555.19,2413599117.21
19.06.2008,14562.49,2399089839.28
20.06.2008,14564.07,2392425895.6
23.06.2008,14577.91,2367727445.12
24.06.2008,14605.43,2380731737.69
25.06.2008,14618.29,2365244283.66
26.06.2008,14607.21,2353852186.32
27.06.2008,14615.83,2298592766.31
30.06.2008,14655.47,2307126978.93
01.07.2008,14651.05,2306889877.96
02.07.2008,14643.79,2312069048.4
03.07.2008,14620.53,2292106747.6
04.07.2008,14645.1,2293081241.47
07.07.2008,14668.1,2272117924.26
08.07.2008,14652.65,2272845998.48
09.07.2008,14663.36,2267488852.22
10.07.2008,14695.52,2277564764.86
11.07.2008,14697.18,2273626339.94
14.07.2008,14702.04,2231132436.23
15.07.2008,14696.76,2235011133.65
16.07.2008,14687.2,2240719582.55
17.07.2008,14671.15,2236207237.94
18.07.2008,14678.27,2240187514.54
21.07.2008,14702.57,2183457981.32
22.07.2008,14711.23,2211714609.48
23.07.2008,14718.76,2208980502.04
24.07.2008,14720.02,2198739588.96
25.07.2008,14700.77,2179717541.51
28.07.2008,14715.47,2157750190.86
29.07.2008,14733.09,2154145642.46
30.07.2008,14735.97,2146349504.53
