time,close
2020-11-12,39677.48
2020-11-13,39701.34
2020-11-16,39724.5
2020-11-17,39732.28
2020-11-18,39757.4
2020-11-19,39765.58
2020-11-20,39775.96
2020-11-23,39795.38
2020-11-24,39811.96
2020-11-25,39824.55
2020-11-26,39830.4
2020-11-27,39825.84
2020-11-30,39861.92
2020-12-01,39830.96
2020-12-02,39841.07
2020-12-03,39845.46
2020-12-04,39848.91
2020-12-07,39870.32
2020-12-08,39861.77
2020-12-09,39885.91
2020-12-10,39881.91
2020-12-11,39891.81
2020-12-14,39901.51
2020-12-15,39886.27
2020-12-16,39906.79
2020-12-17,39928.89
2020-12-18,39942.74
2020-12-21,39931.3
2020-12-22,39926.62
2020-12-23,39900.32
2020-12-24,39886.71
2020-12-25,39900.07
2020-12-28,39958.49
2020-12-29,39830.86
2020-12-30,40012.88
2020-12-31,40017.33
2021-01-11,40099.95
2021-01-12,40097.58
2021-01-13,40087.93
2021-01-14,40077.09
2021-01-15,40037.65
2021-01-18,40003.98
2021-01-19,40015.05
2021-01-20,40053.92
2021-01-21,40034.82
2021-01-22,39975.94
2021-01-25,40006.11
2021-01-26,39995.64
2021-01-27,39994.89
2021-01-28,39990.51
2021-01-29,39975.78
2021-02-01,40019.22
2021-02-02,40018.25
2021-02-03,39972.33
2021-02-04,40016.03
2021-02-05,40030.02
2021-02-08,40089.77
2021-02-09,40082.69
2021-02-10,40052.82
2021-02-11,40003.82
2021-02-12,39962.68
2021-02-15,39956.29
2021-02-16,39876.04
2021-02-17,39851.4
2021-02-18,39847.98
2021-02-19,39799.24
2021-02-20,39845.37
2021-02-24,39859.98
2021-02-25,39859.86
2021-02-26,39799.01
2021-03-01,39804.58
2021-03-02,39862.41
2021-03-03,39873.09
2021-03-04,39866.53
2021-03-05,39838.73
2021-03-09,39885.36
2021-03-10,39843.6
2021-03-11,39811.34
2021-03-12,39824.31
2021-03-15,39815.16
2021-03-16,39793.07
2021-03-17,39763.64
2021-03-18,39695.57
2021-03-19,39602.32
2021-03-22,39529.65
2021-03-23,39407.29
2021-03-24,39390.78
2021-03-25,39414.54
2021-03-26,39547.11
2021-03-29,39615.76
2021-03-30,39612.97
2021-03-31,39600.98
2021-04-01,39595.34
2021-04-02,39611.08
2021-04-05,39607.7
2021-04-06,39637.45
2021-04-07,39440.69
2021-04-08,39420.7
2021-04-09,39376.02
2021-04-12,39368.67
2021-04-13,39419.69
2021-04-14,39494.64
2021-04-15,39413.21
2021-04-16,39623.84
2021-04-19,39617.48
2021-04-20,39626.72
2021-04-21,39589.03
2021-04-22,39629.27
2021-04-23,39615.38
2021-04-26,39688.9
2021-04-27,39679.0
2021-04-28,39660.45
2021-04-29,39693.89
2021-04-30,39729.4
2021-05-04,39724.94
2021-05-05,39826.88
2021-05-06,39762.24
2021-05-07,39789.77
2021-05-11,39778.49
2021-05-12,39791.77
2021-05-13,39692.18
2021-05-14,39739.84
2021-05-17,39740.43
2021-05-18,39757.58
2021-05-19,39760.51
2021-05-20,39714.81
2021-05-21,39728.44
2021-05-24,39745.07
2021-05-25,39740.69
2021-05-26,39763.59
2021-05-27,39760.55
2021-05-28,39732.84
2021-05-31,39768.85
2021-06-01,39772.31
2021-06-02,39787.59
2021-06-03,39792.69
2021-06-04,39752.39
2021-06-07,39713.23
2021-06-08,39608.22
2021-06-09,39570.27
2021-06-10,39557.51
2021-06-11,39680.09
2021-06-15,39662.94
2021-06-16,39651.4
2021-06-17,39661.26
2021-06-18,39727.27
2021-06-21,39695.85
